place_id,name,category,target_layer,display_layer,qgis_geometry,semantic_geometry,geometry_level,x,y,confidence,version,source_map,source_stage,reference_logic,notes
jingchengtu_asset_preview_001,余杭门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375614.900,3539130.100,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[190,20,245,80],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_002,艮山门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377924.600,3539258.400,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[835,40,900,95],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_003,东青门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13378075.000,3537147.800,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[930,185,980,260],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_004,嘉会门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377022.000,3531860.300,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[760,720,835,770],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_005,钱湖门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375429.100,3533639.100,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[120,655,180,720],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_006,清波门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375690.100,3534612.500,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[145,615,200,675],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_007,涌金门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375844.700,3535607.900,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[175,570,235,635],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_008,钱塘门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375654.800,3537174.400,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[210,35,270,95],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_009,大内·京城图,宫城,places_palace,临安_宫城,Polygon,polygon,symbolic,13376895.100,3532730.500,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[75,345,135,425],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_010,皇城·京城图,宫城,places_palace,临安_宫城,Polygon,polygon,symbolic,13376930.100,3532745.500,high,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[65,320,145,450],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_011,西湖·京城图,水体,places_water,临安_水体,Polygon,polygon,symbolic,13374790.000,3535690.000,medium,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[35,520,150,720],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_012,宝石山·京城图,山体,places_mountain,临安_山体,Polygon,polygon,symbolic,13375040.000,3537835.000,medium,jingchengtu_asset_preview,jingchengtu_asset_preview,asset_preview_from_poc,京城图.png 真实资产效果预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原标签区分；bbox_pixel 为图面近似位置，仅用于后续 OCR/控制点核对。,"{""bbox_pixel"":[250,235,340,320],""orientation"":""mixed"",""notes"":""preview_only_display_offset_140m_not_final_ocr""}"
