place_id,name,category,target_layer,display_layer,qgis_geometry,semantic_geometry,geometry_level,x,y,confidence,version,source_map,source_stage,reference_logic,notes
jingchengtu_asset_preview_001,余杭门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375614.900,3539130.100,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_002,艮山门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377924.600,3539258.400,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_003,东青门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13378075.000,3537147.800,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_004,崇新门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377937.900,3535740.800,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_005,新开门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377552.900,3534493.000,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_006,保安门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377539.700,3533789.500,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_007,候潮门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377384.800,3533214.300,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_008,便门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377491.000,3532718.700,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_009,嘉会门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377022.000,3531860.300,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
jingchengtu_asset_preview_010,钱湖门·京城图,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375429.100,3533639.100,high,jingchengtu_asset_full,jingchengtu_asset_preview,asset_full_from_poc,京城图.png 全量资产标注预览；坐标沿用已校准 POC 点位并加 140m 显示偏移，便于和原始 POC 标签区分；用于查看真实资产的全量标注密度和图层效果。,"{""orientation"":""mixed"",""notes"":""asset_full_preview_display_offset_140m_not_final_ocr""}"
