gazetteer_name,gaode_map_item,place_type,match_status,visual_priority,occurrence_count,in_curated_checklist,primary_year,earliest_year,latest_year,year_list,year_count,time_type,year_source,time_anchor_note,lon,lat,coord_source,coord_status,coord_crs,coord_note,gaode_check_action,first_context,time_context,notes
吴县,吴县,admin_context,context,low,2,1,-221,-221,2001,-221;-140;-87;1912;1929;1934;1937;1941;1945;1947;1949;1953;1957;1961;1983;1987;1992;1995,21,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,勾吴，为吴始称，境域时属吴地。吴王夫差二十三年（前473），吴亡归越，境域为越地。前221年秦置吴县，境域属吴县。唐代析吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724,前221年秦置吴县，境域属吴县。 || 前221年秦置吴县，境域属吴县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。,
太湖,太湖,water,review,medium,52,1,-190,-190,2004,-190;1454;1863;1977;1978;2000;2004,7,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，受太湖水体调节，气候宜人，雨量充沛，日照充足，无霜期长，宜农宜渔，是典型的江南鱼米之乡。2017年12,汉惠帝五年（前190）夏大旱，太湖涸。 || 景泰五年（1454）正月大雪，历二旬不止，深丈余，太湖诸港连底结冻，舟楫不通。 || 1978年1月10日，150名基干民兵参加东太湖复堤工程建设。,
石湖,石湖,water,review,medium,7,1,1189,1189,2020,1189;1949;1992;2002;2005;2006;2011;2013;2016;2017;2020,11,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，,1949年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路； || 2002年9月1日，地处境域石湖东路35号、占地面积达33076平方米、建筑面积15830平方米的碧波中学建成开学。 || 是年，地处石湖东路占地面积1863.2平方米、建筑面积1257.23平方米的宝南第二幢办公大楼建成启用（2013年因城镇建设规划拆迁）。,
尹山乡,尹山乡,historic_admin,manual,medium,1,1,1488,1488,1950,1488;1724;1912;1947;1948;1949;1950,7,古代-清末,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,，境域复而归属吴县。1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。翌年3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带,1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。 || 经宋、元、明三朝，明弘治元年（1488），县以下设乡，境域隶属长洲县尹山乡。 || 清雍正二年（1724）析长洲县东南地置元和县，境域隶属元和县尹山乡。,
长洲县,长洲县,admin_context,context,low,1,1,1488,1488,1912,1488;1637;1724;1912,4,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,夫差二十三年（前473），吴亡归越，境域为越地。前221年秦置吴县，境域属吴县。唐代析吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属,历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。 || 雍正二年（1724）析长洲县东南地置元和县，境域归属元和县。,
元和县,元和县,admin_context,context,low,1,1,1724,1724,1912,1724;1912,2,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。1949年,历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 历经宋、元、明三朝，至清雍正二年（1724），析长洲县东南地置元和县，境域隶属元和县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。,
澹台子祠,澹台子祠,religious_site,review,medium,3,1,1751,1751,2001,1751;2001,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,9月，澹台湖畔新建市民公园，与千年古桥——宝带桥连缀一起，景色如画，成为人们休闲、观光之地。附：澹台子祠为供奉春秋战国时期教育家、孔子七十二弟子之一澹台灭明的澹台子祠，始建于北宋。据史载，澹台灭明字子,乾隆十六年（1751）高宗南巡，诏令明朝云南姚安太守施悌配享祀澹台子祠。 || 2001年7月，里人筹款在宝带桥北首重建澹台子祠，以祀澹台灭明。,
宝带乡,宝带乡,historic_admin,manual,medium,1,1,1934,1934,1950,1934;1941;1950,3,民国时期,context_sentence,,,,,missing,,,高德底图未必有历史地名标签，需人工补点或补面,归吴县淞北区尹山乡。翌年3月，尹山乡析分长桥、宝带、尹山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6,1934年，吴县第十四区并入第八区，改称第八区，时，境域隶属吴县第八区宝带乡。 || 1941年7月，并编区，伪吴县第八区并入第十一区，时，境域属伪吴县第十一区宝带乡。 || 1950年3月，吴县拆编乡（镇），尹山乡拆分为长桥乡、宝带乡、尹山乡、青树乡，境域隶属车坊区宝带乡。,
宝尹小学,宝尹小学,education,review,medium,6,1,1946,1946,1996,1946;1950;1951;1954;1955;1961;1962;1968;1980;1984;1990;1996,12,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属吴县车坊区尹山乡。1949年4月27日，境域解放,1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。 || 1984年1月，宝尹村利用宝尹小学内教室办复合（混合）幼儿班，先后有40名幼儿入学。 || 1980年，更名宝尹小学。,
宝庆寺,宝庆寺,religious_site,review,medium,3,1,1946,1946,2017,1946;1990;2006;2017,4,民国时期,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,米沙土公路通车。1978年改沙土路面为沥青路面。是年，流行脑膜炎，殃及境域。1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。81948年6月，并编区、乡，境内归属,1946年是年，境内宝庆寺西厢房建起泥河田公立小学（1990年改称宝尹小学）。 || 1946年，境内泥河田宝庆寺庙上西房创办公立泥和田小学，学生40人左右。 || 表7-82006—2017年碧波幼儿园副高级职称教师统计表时间姓名时间姓名2006.6何雪英2010.8王美娟三、小学教育（尖）宝尹小室1946年，境内泥河田的宝庆寺西厢房创办了公立泥河田小学，就读学生40人左右，学生来自附近村庄的求学儿童。,
