place_id,name,category,target_layer,display_layer,qgis_geometry,semantic_geometry,geometry_level,x,y,confidence,version,source_map,source_stage,reference_logic,notes
linan_v4_001,余杭门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375474.9,3538990.1,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=北城墙; Status=已毁,
linan_v4_002,艮山门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377784.6,3539118.4,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=北城墙; Status=已毁,
linan_v4_003,东青门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377935.0,3537007.8,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=东城墙; Status=已毁,
linan_v4_004,崇新门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377797.9,3535600.8,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=东城墙; Status=已毁,
linan_v4_005,新开门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377412.9,3534353.0,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=东城墙; Status=已毁,
linan_v4_006,保安门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377399.7,3533649.5,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=东城墙; Status=已毁,
linan_v4_007,候潮门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377244.8,3533074.3,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=东城墙; Status=已毁,
linan_v4_008,便门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13377351.0,3532578.7,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=东城墙; Status=已毁,
linan_v4_009,嘉会门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13376882.0,3531720.3,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=南城墙; Status=已毁,
linan_v4_010,钱湖门,城门,places_city_gate,临安_城门,Polygon,point,symbolic,13375289.1,3533499.1,high,v4_osm_yfix,jingchengtu;linan_reference;qgis_poc,ai_spatial_reasoning_poc,死锚：临安_十三城门图层坐标；Direction=西城墙; Status=已毁,
