gazetteer_name,gaode_map_item,place_type,match_status,visual_priority,occurrence_count,in_curated_checklist,primary_year,earliest_year,latest_year,year_list,year_count,time_type,year_source,time_anchor_note,lon,lat,coord_source,coord_status,coord_crs,coord_note,gaode_check_action,first_context,time_context,notes
古代桥,古代桥,bridge,review,medium,1,0,-1027,-1027,1027,-1027;1027,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,入选上海人民美术出版社出版的《苏州十二景》明信片图录（全套含封面13枚，连体片）。附：中国第一套古代桥梁建筑邮票上的苏州宝带桥“迎亲于渭，造舟为梁”，这是《诗经》上说的公元前1027年周文王在渭河,附：中国第一套古代桥梁建筑邮票上的苏州宝带桥“迎亲于渭，造舟为梁”，这是《诗经》上说的公元前1027年周文王在渭河上用船架设浮桥迎亲的事。,
吴县,吴县,admin_context,context,low,2,1,-221,-221,2001,-221;-140;-87;1912;1929;1934;1937;1941;1945;1947;1949;1953;1957;1961;1983;1987;1992;1995,21,古代-清末,context_sentence,,,,,missing,,,作为边界/方位参照，不一定在辖区内单独标注,勾吴，为吴始称，境域时属吴地。吴王夫差二十三年（前473），吴亡归越，境域为越地。前221年秦置吴县，境域属吴县。唐代析吴县东部置长洲县，境域划归长洲县。历经宋、元、明三朝，至清雍正二年（1724,前221年秦置吴县，境域属吴县。 || 前221年秦置吴县，境域属吴县。 || 1912年1月，吴县、长洲县、元和县合并，称吴县，境域复而归属吴县。,
太湖,太湖,water,review,medium,52,1,-190,-190,2004,-190;1454;1863;1977;1978;2000;2004,7,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，受太湖水体调节，气候宜人，雨量充沛，日照充足，无霜期长，宜农宜渔，是典型的江南鱼米之乡。2017年12,汉惠帝五年（前190）夏大旱，太湖涸。 || 景泰五年（1454）正月大雪，历二旬不止，深丈余，太湖诸港连底结冻，舟楫不通。 || 1978年1月10日，150名基干民兵参加东太湖复堤工程建设。,
嘉兴段运河,嘉兴段运河,waterway,review,medium,1,0,-87,-140,-87,-140;-87,2,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,立吴县，境域属吴县。汉惠帝五年（前190）夏大旱，太湖涸。武帝年间（前140—前87）开挖吴县至嘉兴段运河，途经境域。三国吴大帝年间（222—252）始建生产丝织品的官营“织络”作坊，境域妇女从业刺绣。,武帝年间（前140—前87）开挖吴县至嘉兴段运河，途经境域。,
带桥,带桥,bridge,review,medium,1,0,-12,-12,2017,-12;810;816;819;1232;1436;1449;1558;1670;1673;1831;1863;1872;1949;1962;1988;1991;1998,28,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,助和支持。编纂工作人员通过各种途径，搜集到了不少弥足珍贵的资料，经订立纲目，几易其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢,2017年12月，宝带桥社区总面积3.2平方千米，下辖31个居民小组； || 1949年10月1日，中华人民共和国成立，是月，宝带桥社区境域划归吴县淞北区尹山乡。 || 大事记4商约公元前12世纪泰伯、仲雍建立勾吴，为吴之始称，宝带桥社区境域时属吴地。,
募集资金造桥,募集资金造桥,bridge,review,medium,1,0,816,816,816,816,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,，澹台湖面上遇风水急浪高，粮船滞集影响漕运。苏州刺史王仲舒于元和十一年（816），捐献官服玉带，募集资金造桥。桥的设计不同于一般的“垂虹架空”的拱形，而设计为“宝带卧波”之长堤。为了使得湖水宣泄通畅，又采,苏州刺史王仲舒于元和十一年（816），捐献官服玉带，募集资金造桥。,
堤为路,堤为路,road,review,medium,1,0,816,810,819,810;816;819,3,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,）析吴县东部地置长洲县，境域归属长洲县。元和五年（810）苏州刺史王仲舒令筑城南（境域东部）运河堤为路，带头捐宝带筹款，于元和十一年至十四年（816—819）历时4年建造宝带桥。5宋仁宗景祐元,元和五年（810）苏州刺史王仲舒令筑城南（境域东部）运河堤为路，带头捐宝带筹款，于元和十一年至十四年（816—819）历时4年建造宝带桥。,
造桥,造桥,bridge,review,medium,5,0,816,816,816,816,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,看来往的风帆，到运河边数宝带桥的桥洞……如今，随着改革金风吹动，澹台湖四周沸腾起来了：遍地筑路、造桥、盖房。这片紧挨苏城的热土正日益走向壮美。怀着深深的眷恋，近日我又重游澹台湖。我在湖北桥头公园小,苏州刺史王仲舒于元和十一年（816），捐献官服玉带，募集资金造桥。,
长长石桥,长长石桥,bridge,review,medium,1,0,816,816,816,816,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,，桥越造越长、越造越大。公元816年，当今世界最发达的北美大陆还处在一片蛮荒之时，一座精美绝伦的长长石桥就侧卧在古运河畔、澹台湖口。隋大业六年（610），弑父篡位的隋炀帝在平定一次军事政变后，要下江南,公元816年，当今世界最发达的北美大陆还处在一片蛮荒之时，一座精美绝伦的长长石桥就侧卧在古运河畔、澹台湖口。,
九环洞桥,九环洞桥,bridge,review,medium,1,0,1189,1189,1189,1189,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,墩结合的技术是桥梁技术史上的一个重大成就。在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。现在建造多孔拱桥时，每隔3—5孔必建造一座刚性墩，就是吸收了古人的技术。宝,在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。,
吴地采用这种桥,吴地采用这种桥,bridge,review,medium,1,0,1189,1189,1189,1189,1,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,它能承受单向拱推力，亦叫单向推力墩。这种一桥采用柔刚墩结合的技术是桥梁技术史上的一个重大成就。在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。现在建造多孔拱桥时，每隔3—,在吴地采用这种桥墩的还有建于宋淳熙十六年（1189）的九环洞桥——石湖上方山行春桥。,
石湖,石湖,water,review,medium,7,1,1189,1189,2020,1189;1949;1992;2002;2005;2006;2011;2013;2016;2017;2020,11,古代-清末,context_sentence,,,,,missing,,,在高德矢量底图逐项核对同名或近名标签,、吴中高新区相望，南接城南街道红庄社区，西连新江、龙南社区，北临江南运河；迎春南路穿越境域南北，石湖东路贯通境域东西，交通便捷；境内有宝带桥·澹台湖景区，景色旖旎。境域属海洋性季风气候，四季分明，,1949年10月后，特别是改革开放划归吴县经济技术开发区后，按建设规划，在公路、河道、居民住宅、环境卫生上着手，先后建造了东西走向的东吴南路、石湖东路、天灵路、澄湖中路、澄湖东路，南北走向的迎春南路、宝通路、宝丰路； || 2002年9月1日，地处境域石湖东路35号、占地面积达33076平方米、建筑面积15830平方米的碧波中学建成开学。 || 是年，地处石湖东路占地面积1863.2平方米、建筑面积1257.23平方米的宝南第二幢办公大楼建成启用（2013年因城镇建设规划拆迁）。,
