rank,curated_rank,gazetteer_name,gaode_map_item,place_type,mention_level,canonical_mention_count,raw_surface_count,top_themes,reason,has_coord,coordinate_quality,lon,lat,coord_source,coord_status,coord_crs,match_status,visual_priority,primary_year,time_type,year_list,year_count,rank_label,context_examples,first_context,notes
1,1,宝带桥,宝带桥,heritage_bridge,极高频,455,825,基层治理:38；交通水系:35；遗产文化:5,它是社区志的核心命名地标，也是运河交通、古桥营造、历代修缮、文物保护和大运河申遗叙事的中心对象。,1,已匹配坐标,120.6536904,31.2566100,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,matched,high,816,古代-清末,-12;810;816;819;1232;1436;1449;1558;1670;1673;1831;1863;1872;1949;1962;1988;1991;1998,28,1. 宝带桥（455次）,1导、老同志和热心人的帮助和支持。编纂工作人员通过各种途径，搜集到了不少弥足珍贵的资料，经订立纲目，几易其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢。感谢大家为宝带桥社区办了一件上 || 其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢。感谢大家为宝带桥社区办了一件上慰祖先、下惠子孙、裨益当代、遗泽后世的善事。“苟日新，日日新，又日新。”宝带桥社区的过去已写入史册，未来尚待开拓。 || 纂工作的人员表示衷心感谢。感谢大家为宝带桥社区办了一件上慰祖先、下惠子孙、裨益当代、遗泽后世的善事。“苟日新，日日新，又日新。”宝带桥社区的过去已写入史册，未来尚待开拓。我们宝带桥社区人民将在上级党委、人民政府领导下，用自己的聪明才智、勤劳双手，在新时代新征程中,帮助和支持。编纂工作人员通过各种途径，搜集到了不少弥足珍贵的资料，经订立纲目，几易其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢,
2,2,宝尹花园,宝尹花园,residential,极高频,302,398,基层治理:74；开发建设:39；交通水系:35,它代表旧村改造和居民安置后的现代居住空间，在社区管理、人口居住和小区治理内容中频繁出现。,1,可用坐标_需复核,120.6414136,31.2690988,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,review,high,1996,开发区建设,1996;1998;2000;2001;2003;2004;2008;2012;2017,9,2. 宝尹花园（302次）,明信片图录。1996年5月至9月，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。11月8日，村办集体企业实行转制，将宝南拼线厂转制给原承包人经营，性质由集体企业转为私营企业。是年，开展第三个五年普法教育， || 员会、苏州市吴中区人民政府授予宝带桥社区“和谐社区”称号。2008年1月27日，连续7天大雨，境内部分房屋倒塌，交通阻塞。2月，宝尹花园完成污水网管道改造升级。是月，中共苏州吴中区委员会、苏州市吴中区人民政府授予宝带桥社区“五位一体示范综治办”称号。10月，朱塔浜 || 慰问。3月31日，占地8500平方米、建筑面积18652平方米的吴中博物馆（后改名吴文化博物馆）在宝带桥南堍动工建设。7月1日，宝尹花园车辆实行封闭式管理。是日，吴中区委书记唐晓东、副书记李朝阳一行在城南街道办事处主任朱华平陪同下走访境内马红卫、沈杏民、潘周平、周,，境内进行老村改造，泥河田、王家浜、港南浜183户居民人家，搬迁至朱塔浜（2004年12月更名为宝尹花园）。11月8日，村办集体企业实行转制，将宝南拼线厂转制给原承包人经营，性质由集体企业转为私营企业,
3,3,宝带桥社区,宝带桥社区,community,极高频,247,255,基层治理:47；交通水系:30；教育民生:9,它是志书叙事主体，前言、建置沿革、组织治理、社区建设和新时代发展章节都会反复出现。,1,已匹配坐标,120.6444783,31.2503652,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,matched,high,2004,社区成立与城市更新,-12;555;559;635;639;810;814;1050;1054;1070;1074;1147;1937;1949;1951;1957;1978;1991,30,3. 宝带桥社区（247次）,1导、老同志和热心人的帮助和支持。编纂工作人员通过各种途径，搜集到了不少弥足珍贵的资料，经订立纲目，几易其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢。感谢大家为宝带桥社区办了一件上慰祖 || 其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢。感谢大家为宝带桥社区办了一件上慰祖先、下惠子孙、裨益当代、遗泽后世的善事。“苟日新，日日新，又日新。”宝带桥社区的过去已写入史册，未来尚待开拓。我们 || 纂工作的人员表示衷心感谢。感谢大家为宝带桥社区办了一件上慰祖先、下惠子孙、裨益当代、遗泽后世的善事。“苟日新，日日新，又日新。”宝带桥社区的过去已写入史册，未来尚待开拓。我们宝带桥社区人民将在上级党委、人民政府领导下，用自己的聪明才智、勤劳双手，在新时代新征程中，牢,帮助和支持。编纂工作人员通过各种途径，搜集到了不少弥足珍贵的资料，经订立纲目，几易其稿，遂成了《宝带桥社区志》。为此，我们谨代表社区党委、居委会向他们以及所有参与和关心本志编纂工作的人员表示衷心感谢。感,
4,4,下田,下田,historic_settlement,高频,193,702,基层治理:37；交通水系:35；教育民生:22,它既是历史自然村名称，又常出现在下田村、西下田、学校和村庄建置叙述中，是基层地名网络中的高频节点。,1,可用坐标_需复核,120.6469495,31.2522801,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,manual,medium,1950,集体化与农业建设,1929;1941;1942;1949;1950;1954;1956;1996;2000;2003;2004;2005;2013;2017;2020,15,4. 下田（193次）,树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名 || 9年11月1日，日伪发放“良民证”，废除通行证。1940年12月，奉伪江苏省民政厅令，恢复1937年前区域。1941年4月，境内下田村坟堂上40岁朱女士，被日本兵从坟堂上沿南港河（俗称马桶河）追逃至廿五港刺死。9月（农历八月十五）夜，泥河田村吴毛头被派去苏嘉铁 || 死。9月（农历八月十五）夜，泥河田村吴毛头被派去苏嘉铁路（尹山段）值班时，因打瞌睡被日军用枪托砸击后脑致死。是年，境内沉家浜（西下田）陆根火发现蠡墅镇上开肉铺的店主之妻被日本兵强暴，遂与店主合力将施暴日军处死。为躲避抓捕，隐居太湖，至死未归。1942年是年，境,隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956,
5,5,钱家新村,钱家新村,residential,高频,148,289,基层治理:71；教育民生:35；开发建设:31,它是动迁安置和居民生活小区的重要空间，常与旧村改造、搬迁、居民生活管理相关。,1,可用坐标_需复核,120.6578035,31.2723691,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,review,high,1996,开发区建设,1996;2000;2001;2002;2003;2004;2008;2013;2014;2017,10,5. 钱家新村（148次）,成2618平方米、2986平方米的两幢标准厂房，并先后对外出租。是年，金家村28户居民、朱塔浜南岸28户居民，先后搬迁至朱塔浜和钱家新村居民生活小区。2002年9月1日，地处境域石湖东路35号、占地面积达33076平方米、建筑面积15830平方米的碧波中学建成开学 || 南居委会投资建成下田社区医务室和老年活动中心，建筑面积540平方米。是年，朱塔浜南岸18户居民、塘里（澹台湖西岸）6户居民搬迁至钱家新村居民生活小区。2003年1月，宝尹、宝南2居委会根据吴中经济开发区管理委员会〔2002〕第31号文规定，禁止境内养猪。3月至4月 || 据吴中经济开发区管理委员会〔2002〕第31号文规定，禁止境内养猪。3月至4月，吴家角35户居民、泥河田38户居民搬迁至下田村、钱家新村居民生活小区。7月7日，撤销宝南、宝尹村党支部，建立中共宝带桥支部委员会。是月，宝尹、宝南两个居委会合并为宝带桥居委会。是月，吴,的两幢标准厂房，并先后对外出租。是年，金家村28户居民、朱塔浜南岸28户居民，先后搬迁至朱塔浜和钱家新村居民生活小区。2002年9月1日，地处境域石湖东路35号、占地面积达33076平方米、建筑面积1,
6,6,澹台湖,澹台湖,water,高频,137,214,交通水系:65；基层治理:13；遗产文化:7,它与宝带桥共同构成社区最重要的自然和景观空间，贯穿地名来源、湖桥关系、景区建设和文旅更新。,1,已匹配坐标,120.6499934,31.2556431,osm_wgs84_to_gcj02,fallback_coord,GCJ-02,matched,high,819,古代-清末,816;819;1984;1991;1992;1997;2004;2005;2013;2016;2020,11,6. 澹台湖（137次）,…………………………………………………………59第三节人口变动…………………………………………………………………………67第三章澹台湖·宝带桥………………………………………………………………………73第一节澹台湖………………………………………………………………… || ……………………………………………………67第三章澹台湖·宝带桥………………………………………………………………………73第一节澹台湖……………………………………………………………………………75第二节宝带桥……………………………………………………………………… || ………………………………………………75第二节宝带桥……………………………………………………………………………76第三节宝带桥·澹台湖景区……………………………………………………………80第四节诗词文选…………………………………………………………………………81,…………59第三节人口变动…………………………………………………………………………67第三章澹台湖·宝带桥………………………………………………………………………73第一节澹台湖……………………,
7,,田村,田村,historic_settlement,高频,127,203,基层治理:58；交通水系:49；教育民生:14,该地名属于历史自然村，在志书中约出现127次，主要关联基层治理、交通水系；主要时间锚点为1941年。,0,缺坐标,,,,missing,,manual,medium,1941,民国时期,1941;1942;1949;1950;1951;1956;1980;1996;2003;2004;2013;2017,12,7. 田村（127次）,（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合并，名称 || 年11月1日，日伪发放“良民证”，废除通行证。1940年12月，奉伪江苏省民政厅令，恢复1937年前区域。1941年4月，境内下田村坟堂上40岁朱女士，被日本兵从坟堂上沿南港河（俗称马桶河）追逃至廿五港刺死。9月（农历八月十五）夜，泥河田村吴毛头被派去苏嘉铁路 || 941年4月，境内下田村坟堂上40岁朱女士，被日本兵从坟堂上沿南港河（俗称马桶河）追逃至廿五港刺死。9月（农历八月十五）夜，泥河田村吴毛头被派去苏嘉铁路（尹山段）值班时，因打瞌睡被日军用枪托砸击后脑致死。是年，境内沉家浜（西下田）陆根火发现蠡墅镇上开肉铺的店主,属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年,
8,7,金星大队,金星大队,historic_admin,高频,106,119,基层治理:52；交通水系:18；教育民生:8,该地名属于历史行政/集体组织，在志书中约出现106次，主要关联基层治理、交通水系；主要时间锚点为1958年。,0,缺坐标,,,,missing,,manual,medium,1958,集体化与农业建设,1958;1959;1960;1961;1962;1965;1966;1967;1969;1970;1971;1972;1975;1976;1977;1978;1979;1980,18,7. 金星大队（106次）,练。10月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬 || 0两制。3月22日，马永昌当选为中共吴县第二次党代会代表。是月，吴县红旗大学改为吴县农业高级中学，校址设在境域尹山。8月26日，金星大队选送朱和尚、陈多妹（女）、戈云福、罗呆妹（女）、钱美朗（女）、任招生，新华大队选送许金土、陶关林、陶云宝（女）、周连福、周云金（ || 。12月，金星、新华大队先后成立“造反队”“战斗队”。1967年1月，受上海“一月风暴”影响，金星、新华大队风行“夺权”。2月，金星大队成立养鱼专业队，在泥河田港放养鱼苗。3月，金星、新华大队党、政工作由大队民兵营长主持。1968年3月5日，始行废除土葬。8月，掀,行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境,
9,8,新华大队,新华大队,historic_admin,高频,103,124,基层治理:48；农业工业:11；教育民生:10,该地名属于历史行政/集体组织，在志书中约出现103次，主要关联基层治理、农业工业；主要时间锚点为1958年。,0,缺坐标,,,,missing,,manual,medium,1958,集体化与农业建设,1958;1959;1960;1962;1967;1969;1970;1972;1973;1974;1975;1979;1980,13,8. 新华大队（103次）,化，境内青壮年集体住宿训练。10月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥 || 社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金 || 办食堂，并提出“放开肚皮吃饭，鼓足干劲生产”等口号。是年，境内地处泥河田宝庆寺的泥河田小学搬迁至姚家场，并更名为金星小学。是年，新华大队陆盘根因经常在外工作，去上海花80元人民币购买了境内第一辆品牌为凤凰的自行车。101959年1月，开展除四害、捕捉麻雀的群众运动,月，郭巷人民公社成立，实行集工农商学于一体、政社合一的体制，境域归属郭巷人民公社。金星24社改称新华大队，金星25社改称金星大队。是月，金星、新华大队实行营连制，大办食堂，并提出“放开肚皮吃饭，鼓足干,
10,9,小村,小村,historic_settlement,高频,89,105,基层治理:95；交通水系:78；开发建设:19,该地名属于历史自然村，在志书中约出现89次，主要关联基层治理、交通水系；主要时间锚点为1950年。,0,缺坐标,,,,missing,,manual,medium,1950,集体化与农业建设,1949;1951;1954;1965;1980;1984;1996;2001;2004;2013;2017,11,9. 小村（89次）,山及青树（今属吴江区境域）4个乡，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1956年1月，长桥、尹西2个乡合 || 域归属吴县车坊区宝带乡。4月15日，宝带乡并入长桥乡，青树乡并入尹山乡，并更名为尹西乡。时，境域金家村、钱家村、朱塔浜、沉家浜、小村、下田村归属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜归属尹西乡。9月，开展土改运动。10月，根据中央人民政府、政务院、最高 || 村居民生活小区安装技防监控。2013年3月18日，宝带桥社区根据吴中区建设“宝带桥·澹台湖景区综合整治”要求，对拆迁区域（下田、小村）357户居民实施上门通知动员。4月12日步入丈量评估，7月24日正式签约。9月，联合国教科文组织专家在大运河苏州段现场考察评估,，境域隶属宝带乡。4月，宝带乡并入长桥乡，青树乡并入尹西乡，境内金家村、钱家村、朱塔浜、沉家浜、小村、下田村等6个自然村隶属长桥乡，泥河田、王家浜、港南浜、吴家角、牛桩浜等5个自然村隶属尹西乡。1,
